Gender,Age,Height,Weight,H_Cal_Consump,Veg_Consump,Water_Consump,Alcohol_Consump,Smoking,Meal_Count,Food_Between_Meals,Fam_Hist,H_Cal_Burn,Phys_Act,Time_E_Dev,Transport,Body_Level
Male,33.0816,1.705617,83.016968,yes,2.0,2.991671,no,no,2.7976,Sometimes,yes,no,2.148738,0.0,Automobile,Body Level 3
Female,26.0,1.610636,105.423532,yes,3.0,2.180566,Sometimes,no,3.0,Sometimes,yes,no,0.0,0.519905,Public_Transportation,Body Level 4
Female,18.0,1.6,55.0,yes,2.0,2.0,Sometimes,no,4.0,Frequently,no,no,2.0,1.0,Public_Transportation,Body Level 2
Male,30.607546,1.757132,118.565568,yes,2.918113,2.240463,Sometimes,no,3.0,Sometimes,yes,no,1.076248,1.480875,Automobile,Body Level 4
Male,40.501722,1.744974,111.169678,yes,2.294259,1.87029,no,no,2.850948,Sometimes,yes,no,0.917014,0.0,Automobile,Body Level 4
Male,25.498751,1.885543,121.253083,yes,2.408561,2.851904,Sometimes,no,3.0,Sometimes,yes,no,1.320065,0.0,Public_Transportation,Body Level 4
Male,22.851721,1.853373,121.737836,yes,2.922511,1.809531,Sometimes,no,2.692889,Sometimes,yes,no,0.478595,0.0,Public_Transportation,Body Level 4
Male,38.0,1.75,75.0,no,3.0,1.0,no,no,3.0,Frequently,yes,no,3.0,1.0,Automobile,Body Level 2
Male,18.164768,1.694265,52.0,yes,3.0,2.0,no,no,3.0,Frequently,yes,no,0.819682,1.0,Public_Transportation,Body Level 1
Male,22.126325,1.717262,98.579156,yes,2.0,2.263551,no,no,2.984523,Sometimes,yes,no,2.819661,2.0,Public_Transportation,Body Level 4
Male,17.0,1.8,68.0,no,2.0,1.0,Sometimes,no,3.0,Sometimes,yes,no,2.0,1.0,Public_Transportation,Body Level 2
Female,15.0,1.65,86.0,yes,3.0,1.0,no,no,3.0,Sometimes,yes,no,3.0,2.0,Walking,Body Level 4
Female,26.0,1.632377,111.946655,yes,3.0,2.737091,Sometimes,no,3.0,Sometimes,yes,no,0.0,0.037078,Public_Transportation,Body Level 4
Female,26.0,1.600762,105.448264,yes,3.0,1.031354,Sometimes,no,3.0,Sometimes,yes,no,0.0,0.37465,Public_Transportation,Body Level 4
Female,20.323767,1.774207,138.143162,yes,3.0,2.816052,Sometimes,no,3.0,Sometimes,yes,no,1.571865,0.688058,Public_Transportation,Body Level 4
Female,21.01245,1.747773,127.902844,yes,3.0,1.705218,Sometimes,no,3.0,Sometimes,yes,no,0.390937,0.998646,Public_Transportation,Body Level 4
Male,23.94003,1.721348,83.986714,yes,2.407817,1.983649,Sometimes,no,2.844138,Sometimes,yes,no,0.868721,0.089354,Public_Transportation,Body Level 3
